Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
159,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,22.70,9.72,7.25,0,,,,,4300,4300,300,,4.5,9.74,0,0,37,,0,,,,,,,0,
176,Berisso – Calle 66,Berisso,BS095,26/03/2014,3,2014,03-2014,01-2014,verano,25.00,21.60,5.73,7.70,0,,,,,300,300,300,,3.8,9.43,0,0,38,,0,,,,,,,0,
29,Berazategui - Puerto Trinidad (BZ 077),Berazategui,BZ077,29/08/2013,8,2013,08-2013,03-2013,invierno,10,12,0.8,7.9,0,,,,,4900000,1100000,0,,2.17,9.17,0,0,72,,0,,,,,,,0,
143,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,22.00,3.12,8.13,0,,,,,4300,4300,300,,2.6,8.99,0,0,39,,0,,,,,,,0,
150,Playa Espigón de Pacheco,San Isidro,SI024,26/03/2014,3,2014,03-2014,01-2014,verano,24.00,22.00,08.04,7.85,0,,,,,460,240,300,,13.1,8.93,0,0,34,,0,,,,,,,0,
10,Del Arca,San Fernando,SF015,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.5,7.9,0,,,,,240000,91800,91800,,5.81,8.59,0,0,45,,0,,,,,,,0,
34,ARROYO DEL GATO,Ensenada,EN083,28/08/2013,8,2013,08-2013,03-2013,invierno,15,12,0.5,7.7,0,,,,,310000,80000,0,,3.04,7.77,0,0,75,,0,,,,,,,0,
2,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.6,0.5,7.5,0,,,,,542000,34800,34800,,3.61,7.47,0,0,48,,0,,,,,,,0,
4,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.3,0.8,7.5,0,,,,,1090000,91800,91800,,10.97,7.29,0,0,41,,0,,,,,,,0,
13,Perú Puente,San Isidro,SI023,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.5,7.4,0,,,,,9180000,1609000,1609000,,9.85,6.35,0,0,125,,0,,,,,,,0,
162,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,23.80,3.75,7.35,0,,,,,4300,4300,700,,13.7,5.92,0,0,60,,0,,,,,,,0,
25,PEJERREY,Quilmes,QU063,28/08/2013,8,2013,08-2013,03-2013,invierno,0,9,0.5,7.9,0,,,,,90000,70000,0,,24.54,5.75,0,0,75,,0,,,,,,,0,
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,6.83,7,3.5,,,,,150000,16400,9200,,3.37,5.44,0,0.7,27,20,2,234,50,6,2,0,,0,
23,CALLE ESPORA,Quilmes,QU061,28/08/2013,8,2013,08-2013,03-2013,invierno,0,9,0.5,7.9,0,,,,,6300000,700000,0,,11.56,5.39,0,0,82,,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,5.98,6.8,7.6,,,,,156000,15000,14000,,3.68,5.22,0,0.67,24,10,1,317,137,6,2,0,,0,
35,CAMPING EVA PERON,Ensenada,EN081,28/08/2013,8,2013,08-2013,03-2013,invierno,15,11,0.8,8.1,0,,,,,9000,5000,0,,11.46,5.15,0,0,53,,0,,,,,,,0,
20,CLUB DE PESCA = PUNTA CARRASCO,CABA,CA046,22/11/2017,11,2017,11-2017,04-2017,primavera,20,0,3,7.5,46,,,,,123000,80000,80000,,14,5.14,0,354,25,9,0,206,,0.02,2,,,0,
140,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.00,4.54,08.07,0,,,,,460,150,400,,9.2,4.77,0,0,37,,0,,,,,,,0,
251,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,45,42000,45119,,1772,4.64,0,0,63,,0,,,,,,,0,
24,NAUTICO,Quilmes,QU062,28/08/2013,8,2013,08-2013,03-2013,invierno,0,9,0.5,7.9,0,,,,,46000000,8000000,0,,12.3,4.62,0,0,71,,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.4,0.8,7.5,0,,,,,1090000,91800,91800,,6.21,4.43,0,0,44,,0,,,,,,,0,
16,Puerto de Olivos Espigón,Vicente Lopez,VL032,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.7,7.5,0,,,,,160900,9200,9200,,9.61,4.39,0,0,40,,0,,,,,,,0,
17,Reserva Barrio El Ceibo,Vicente Lopez,VL033,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.7,7.7,0,,,,,2400000,240000,240000,,11.65,4.19,0,0,42,,0,,,,,,,0,
15,Costa y Melo,Vicente Lopez,VL031,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.5,7.4,0,,,,,278000,54200,54200,,4.83,4.14,0,0,30,,0,,,,,,,0,
18,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,28/08/2013,8,2013,08-2013,03-2013,invierno,16.8,16.2,2.99,7.14,0,,,,,2700,1200,0,,7.6,3.72,0,0,35,,0,,,,,,,0,
30,Berazategui – Calle 11 y costa y salida cloaca (BZ 078),Berazategui,BZ078,28/08/2013,8,2013,08-2013,03-2013,invierno,10,11,0.8,7.7,0,,,,,9400000,1400000,0,,8.13,3.32,0,0,77,,0,,,,,,,0,
33,TOMA DE AGUA CLUB DE PESCA RIO,Ensenada,EN082,28/08/2013,8,2013,08-2013,03-2013,invierno,15,11,1.7,7.8,0,,,,,43000,13000,0,,7.53,3.29,0,0,32,,0,,,,,,,0,
265,ARROYO SANTO DOMINGO,Avellaneda,AV053,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,4,4000,45141,,1772,2.84,0,0,88,,0,,,,,,,0,
264,ARROYO SARANDI,Avellaneda,AV052,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,5,3000,45078,,2.4365,2.72,0,0,96,,0,,,,,,,0,
258,Perú Puente,San Isidro,SI023,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,35,30000,14,,26137,2.72,0,0,104,,0,,,,,,,0,
266,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,60,14000,1,,2658,2.56,0,0,108,,0,,,,,,,0,
253,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,8,1800,45017,,2658,2.45,0,0,17,,0,,,,,,,0,
285,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,21/03/2016,3,2016,03-2016,01-2016,verano,0,0,0,0,0,,,,,360,36000,30,,18.61,2.38,0,0,81,,0,,,,,,,0,
14,Perú Puente,San Isidro,SI023,22/11/2017,11,2017,11-2017,04-2017,primavera,22.4,0,3.57,7.51,9.2,,,,,48000,27500,13000,,4.87,2.34,0,0.4,30,14,1,423,60,6,2,0,,0,
267,COSTA DE VILLA DOMINICO,Avellaneda,AV055,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,10,2500,100,,1.9935,2.28,0,0,42,,0,,,,,,,0,
11,ESPIGON LA FAROLA,San Isidro,SI021,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.8,7.6,0,,,,,24000,3500,3500,,8.3,2.17,0,0,30,,0,,,,,,,0,
5,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10,0.7,7.8,0,,,,,2210000,172000,172000,,7.75,18.85,0,0,61,,0,,,,,,,0,
14,Playa Espigón de Pacheco,San Isidro,SI024,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,1,7.7,0,,,,,1609000,221000,221000,,0.25,14.29,0,0,42,,0,,,,,,,0,
172,ARROYO DEL GATO,Ensenada,EN083,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.60,0.51,7.74,0,,,,,240,9300,300,,0.2,12.14,0,0,47,,0,,,,,,,0,
38,Playa La Bagliardi,Berisso,BS091,22/11/2017,11,2017,11-2017,04-2017,primavera,10,0,6.17,8.25,1.5,,,,,21000,8800,3200,,4.43,1.84,0,45,37,26,4,753,73,6,2,0,,0,
2,RIO LUJAN Y ARROYO CARAGUATA,Tigre,TI006,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,5.98,6.8,4.1,,,,,1000,100,99,,4.65,1.83,0,0.38,27,12,1,334,50,6,2,0,,0,
35,ARROYO DEL GATO,Ensenada,EN083,22/11/2017,11,2017,11-2017,04-2017,primavera,20.7,0,3.69,7.89,6.9,,,,,66000,8800,600,,5.76,1.81,0,0.9,25,14,1,637,50,6,2,0,,0,
32,PREFECTURA ISLA SANTIAGO,Ensenada,EN084,28/08/2013,8,2013,08-2013,03-2013,invierno,15,12,1.6,7.6,0,,,,,2300,800,0,,9.32,1.77,0,0,30,,0,,,,,,,0,
276,Berazategui – Calle 11 y costa y salida cloaca (BZ 078),Berazategui,BZ078,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,20000,18000,1,,10189,1.65,0,0,58,,0,,,,,,,0,
22,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,22/11/2017,11,2017,11-2017,04-2017,primavera,20.1,0,3.65,7.1,35,,,,,25000,2400,2000,,4.31,1.63,0,45,70,26,2,315,50,6,2,0,,0,
28,Berisso - La Balandra,Berisso,BS093,28/08/2013,8,2013,08-2013,03-2013,invierno,10.4,9.4,2.5,8.1,0,,,,,63000,14000,0,,12.93,1.61,0,0,41,,0,,,,,,,0,
149,Perú Puente,San Isidro,SI023,26/03/2014,3,2014,03-2014,01-2014,verano,22.90,21.60,2.42,7.53,0,,,,,2300,2300,300,,15.4,1.54,0,0,43,,0,,,,,,,0,
29,PEJERREY,Quilmes,QU063,22/11/2017,11,2017,11-2017,04-2017,primavera,21,0,7.71,7.7,16,,,,,2000,400,200,,4.65,1.54,0,0.3,54,22,1,316,77,6,2,0,,0,
24,ARROYO SARANDI,Avellaneda,AV052,22/11/2017,11,2017,11-2017,04-2017,primavera,21,0,4.26,6.9,42,,,,,10000,600,600,,5.32,1.53,0,0.5,24,19,1,393,50,6,2,0,,0,
20,ARROYO SANTO DOMINGO,Avellaneda,AV053,28/08/2013,8,2013,08-2013,03-2013,invierno,12.7,13.4,2.7,7.43,0,,,,,330000,140000,0,,6.37,1.52,0,0,30,,0,,,,,,,0,
15,Reserva Barrio El Ceibo,Vicente Lopez,VL033,22/11/2017,11,2017,11-2017,04-2017,primavera,21,0,7.2,8.23,10,,,,,102000,11200,7200,,11.52,1.41,0,45,37,16,1,405,50,6,2,0,,0,
16,Puerto de Olivos Espigón,Vicente Lopez,VL032,22/11/2017,11,2017,11-2017,04-2017,primavera,19.6,0,7.1,7.56,39,,,,,150000,25000,8000,,5.32,1.41,0,0.83,33,16,2,489,67,6,2,0,,0,
245,Berisso – Calle 66,Berisso,BS095,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,2800,25000,20000,,3,1.34,0,0,87,,0,,,,,,,0,
12,"PLAYA RESERVA ECOLOGICA, ESPIGON",San Isidro,SI022,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.8,7.4,0,,,,,3500,790,490,,5.76,1.32,0,0,42,,0,,,,,,,0,
146,Del Arca,San Fernando,SF015,26/03/2014,3,2014,03-2014,01-2014,verano,22.10,22.00,4.65,7.44,0,,,,,460,240,300,,6.4,1.29,0,0,35,,0,,,,,,,0,
77,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,27/08/2014,8,2014,08-2014,03-2014,invierno,0.00,12.00,8.58,6.92,0,,,,,4800,300,300,,4.5,1.25,0,0,29,,0,,,,,,,0,
171,TOMA DE AGUA CLUB DE PESCA RIO,Ensenada,EN082,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.20,6.63,7.79,0,,,,,300,300,300,,11.4,1.25,0,0,32,,0,,,,,,,0,
76,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,27/08/2014,8,2014,08-2014,03-2014,invierno,0.00,15.00,8.41,7.53,0,,,,,9300,300,300,,64,1.25,0,0,28,,0,,,,,,,0,
170,CAMPING EVA PERON,Ensenada,EN081,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,20.60,9.15,8.32,0,,,,,9300,300,300,,11.8,1.23,0,0,32,,0,,,,,,,0,
21,COSTA DE VILLA DOMINICO,Avellaneda,AV055,28/08/2013,8,2013,08-2013,03-2013,invierno,11.8,13,8.37,7.3,0,,,,,490,170,0,,7.15,1.22,0,0,37,,0,,,,,,,0,
1,CANAL VILLANUEVA Y RIO LUJAN,Tigre,TI001,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.3,0.7,7.9,0,,,,,1300,130,130,,7.56,1.18,0,0,31,,0,,,,,,,0,
22,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,28/08/2013,8,2013,08-2013,03-2013,invierno,12.1,13.7,8.87,7.52,0,,,,,2600,800,0,,13.04,0.99,0,0,100,,0,,,,,,,0,
117,Perú Puente,San Isidro,SI023,12/11/2014,11,2014,11-2014,04-2014,primavera,27.00,24.00,2.79,7.83,0,,,,,240,240,300,,16.6,0.99,0,0,23,,0,,,,,,,0,
6,RIO LUJAN Y ARROYO CARAGUATA,Tigre,TI006,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.5,0.5,7.5,0,,,,,2200,490,230,,6.04,0.98,0,0,30,,0,,,,,,,0,
268,CALLE ESPORA,Quilmes,QU061,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,9000,1800,300,,5759,0.97,0,0,67,,0,,,,,,,0,
263,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,45064,16500,8,,3987,0.95,0,0,75,,0,,,,,,,0,
262,Reserva Barrio El Ceibo,Vicente Lopez,VL033,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,10,10000,44966,,15505,0.92,0,0,100,,0,,,,,,,0,
161,ARROYO SANTO DOMINGO,Avellaneda,AV053,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,22.10,4.12,7.30,0,,,,,9300,9300,300,,8.3,0.91,0,0,30,,0,,,,,,,0,
247,CANAL VILLANUEVA Y RIO LUJAN,Tigre,TI001,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,8,6300,45170,,2215,0.91,0,0,17,,0,,,,,,,0,
155,MIRADOR TOMA DE AGUA,CABA,CA044,12/02/2014,2,2014,02-2014,01-2014,verano,0.00,26.10,3.56,7.12,0,,,,,1500,250,150,,3,0.9,0,0,25,,0,,,,,,,0,
18,Parque de los Niños,CABA,CA041,22/11/2017,11,2017,11-2017,04-2017,primavera,20,0,7.4,7.9,57,,,,,110000,54000,54000,,7,0.9,0,169,35,8,0,195,,0.02,2,,,0,
82,Del Arca,San Fernando,SF015,27/08/2014,8,2014,08-2014,03-2014,invierno,7.00,15.00,8.19,7.77,0,,,,,240,700,300,,9,0.9,0,0,22,,0,,,,,,,0,
97,Berazategui - Balneario Hudson calle 63 (BZ 080),Berazategui,BZ080,27/08/2014,8,2014,08-2014,03-2014,invierno,7.00,11.30,9.20,0,0,,,,,460,4800,300,,16,0.9,0,0,41,,0,,,,,,,0,
249,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,17,8000,3,,3101,0.9,0,0,21,,0,,,,,,,0,
269,NAUTICO,Quilmes,QU062,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,4000,1400,600,,5316,0.9,0,0,33,,0,,,,,,,0,
23,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,31/05/2017,5,2017,05-2017,02-2017,otoño,15.7,0,7.29,6.4,0,,,,,22000,9000,1000,,4.87,0.9,0,0,41,14,0,,,,,,,0,
189,Perú Puente,San Isidro,SI023,15/09/2016,9,2016,09-2016,03-2016,invierno,0,0,0,0,0,,,,,3600,124000,30000,,9.7,0.89,0,0,34,,0,,,,,,,0,
254,ARROYO ABRA VIEJA Y A SANTA RO,Tigre,TI008,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,7,2500,2,,2215,0.85,0,0,25,,0,,,,,,,0,
3,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.4,0.7,7.4,0,,,,,5400,330,230,,8.37,0.85,0,0,30,,0,,,,,,,0,
11,ESPIGON LA FAROLA,San Isidro,SI021,22/11/2017,11,2017,11-2017,04-2017,primavera,23,0,07.03,7.45,33,,,,,12000,800,300,,4.43,0.84,0,1,17,10,3,220,71,6,2,0,,0,
287,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,21/03/2016,3,2016,03-2016,01-2016,verano,0,0,0,0,0,,,,,420,35000,30,,15.06,0.82,0,0,70,,0,,,,,,,0,
154,Parque de los Niños,CABA,CA041,12/02/2014,2,2014,02-2014,01-2014,verano,0.00,27.20,03.08,7.13,0,,,,,2000,420,420,,3,0.8,0,0,71,,0,,,,,,,0,
106,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,22.00,3.82,7.79,0,,,,,1100,1100,400,,9.9,0.8,0,0,46,,0,,,,,,,0,
16,Puerto de Olivos Espigón,Vicente Lopez,VL032,31/05/2017,5,2017,05-2017,02-2017,otoño,14.2,0,7.3,7.78,0,,,,,12000,3200,800,,7.97,0.8,0,0,32,8,1,,,,,,,0,
136,Berisso – Calle 66,Berisso,BS095,12/11/2014,11,2014,11-2014,04-2014,primavera,19.00,26.50,03.07,7.32,0,,,,,1100,460,1500,,8.53,0.8,0,0,63,,0,,,,,,,0,
308,ARROYO DEL GATO,Ensenada,EN083,21/03/2016,3,2016,03-2016,01-2016,verano,0,0,0,0,0,,,,,135000,36000,5100,,12.4,0.78,0,0,70,,0,,,,,,,0,
233,COSTA DE VILLA DOMINICO,Avellaneda,AV055,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,500,3500,2200,,1.1,0.77,0,0,125,,0,,,,,,,0,
151,Costa y Melo,Vicente Lopez,VL031,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.10,7.00,7.80,0,,,,,2400,460,300,,9.6,0.77,0,0,40,,0,,,,,,,0,
19,MIRADOR TOMA DE AGUA,CABA,CA044,22/11/2017,11,2017,11-2017,04-2017,primavera,19.4,0,6.5,7.5,71,,,,,74000,500,500,,13,0.77,0,154,42,5,0,163,,0.02,2,,,0,
257,"PLAYA RESERVA ECOLOGICA, ESPIGON",San Isidro,SI022,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,25,5000,700,,5759,0.77,0,0,42,,0,,,,,,,0,
113,ARROYO ABRA VIEJA Y ARROYO STA ROSA,Tigre,TI009,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,25.00,5.82,7.58,0,,,,,400,400,300,,4.69,0.77,0,0,30,,0,,,,,,,0,
26,Playa La Bagliardi,Berisso,BS091,28/08/2013,8,2013,08-2013,03-2013,invierno,12.9,9.1,1,7.8,0,,,,,14000,2700,0,,7.76,0.77,0,0,33,,0,,,,,,,0,
231,ARROYO SANTO DOMINGO,Avellaneda,AV053,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,4200,7000,600,,1.1,0.76,0,0,48,,0,,,,,,,0,
230,ARROYO SARANDI,Avellaneda,AV052,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,6000,50000,7000,,1.1,0.76,0,0,33,,0,,,,,,,0,
270,PEJERREY,Quilmes,QU063,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,5000,3000,45108,,8.86,0.75,0,0,21,,0,,,,,,,0,
242,Berazategui – Calle 11 y costa y salida cloaca (BZ 078),Berazategui,BZ078,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,7.8,0,,,,,2400,1500,600,,3.6,0.74,0,0,129,,0,,,,,,,0,
239,ARROYO DEL GATO,Ensenada,EN083,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,360,1000,100,,1.7,0.73,0,0,52,,0,,,,,,,0,
23,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,22/11/2017,11,2017,11-2017,04-2017,primavera,19.8,0,06.07,6.9,62,,,,,36000,6000,2200,,4.43,0.73,0,0.4,40,12,45,265,50,6,2,0,,0,
13,Playa Espigón de Pacheco,San Isidro,SI024,22/11/2017,11,2017,11-2017,04-2017,primavera,25,0,7.39,7.94,52,,,,,34000,4000,3800,,7.97,0.73,0,1,25,12,2,490,71,6,2,0,,0,
246,Berisso - La Municipal,Berisso,BS094,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,110,400,300,,1.7,0.72,0,0,71,,0,,,,,,,0,
87,Costa y Melo,Vicente Lopez,VL031,27/08/2014,8,2014,08-2014,03-2014,invierno,0.00,13.10,8.80,7.54,0,,,,,2800,300,300,,26,0.7,0,0,30,,0,,,,,,,0,
17,Costa y Melo,Vicente Lopez,VL031,31/05/2017,5,2017,05-2017,02-2017,otoño,14,0,7.6,7.3,0,,,,,7000,3400,200,,12.85,0.7,0,0,23,10,0,,,,,,,0,
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,03/08/2017,8,2017,08-2017,03-2017,verano,0,0,4.5,7,0,,,,,32000,4000,400,,3.99,0.7,0,0,35,23,0,,,,,,,0,
6,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,31/05/2017,5,2017,05-2017,02-2017,otoño,0,0,8,7.23,0,,,,,7000,2400,1100,,4.43,0.7,0,0,29,15,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,31/05/2017,5,2017,05-2017,02-2017,otoño,0,0,10.25,7.3,0,,,,,15000,3400,600,,4.87,0.7,0,0,19,5,0,,,,,,,0,
15,Reserva Barrio El Ceibo,Vicente Lopez,VL033,16/08/2017,8,2017,08-2017,03-2017,invierno,15.7,0,7.5,7.52,19,,,,,55000,3400,3200,,7.31,0.7,0,0,12,5,0,337,,,,,,0,
15,Reserva Barrio El Ceibo,Vicente Lopez,VL033,31/05/2017,5,2017,05-2017,02-2017,otoño,14.3,0,7.7,7.28,0,,,,,6000,1200,1100,,8.86,0.7,0,0,25,5,0,,,,,,,0,
16,Puerto de Olivos Espigón,Vicente Lopez,VL032,16/08/2017,8,2017,08-2017,03-2017,invierno,16.1,0,6.7,7.16,19,,,,,69000,8400,5100,,9.75,0.7,0,0,27,10,0,331,,,,,,0,
125,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,26.20,02.01,7.30,0,,,,,0,0,0,,6.67,0.69,0,0,83,,0,,,,,,,0,
256,ESPIGON LA FAROLA,San Isidro,SI021,30/11/2016,11,2016,11-2016,04-2016,primavera,0,0,0,0,0,,,,,36,8000,44986,,3101,0.67,0,0,17,,0,,,,,,,0,
8,ARROYO ABRA VIEJA Y A SANTA RO,Tigre,TI008,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.5,0.6,7.6,0,,,,,3500,490,330,,3.46,0.66,0,0,30,,0,,,,,,,0,
19,ARROYO SARANDI,Avellaneda,AV052,28/08/2013,8,2013,08-2013,03-2013,invierno,12.8,13.5,8.98,7.37,0,,,,,310,230,0,,7.84,0.66,0,0,35,,0,,,,,,,0,
120,Puerto de Olivos Espigón,Vicente Lopez,VL032,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,24.40,4.40,7.32,0,,,,,460,460,300,,8.08,0.64,0,0,37,,0,,,,,,,0,
12,"PLAYA RESERVA ECOLOGICA, ESPIGON",San Isidro,SI022,22/11/2017,11,2017,11-2017,04-2017,primavera,22.7,0,6.86,7.62,46,,,,,38000,3600,200,,5.32,0.64,0,1.25,59,10,4,242,50,6,2,0,,0,
229,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,22/06/2016,6,2016,06-2016,02-2016,otoño,0,0,0,0,0,,,,,3600,12000,1800,,2.6,0.63,0,0,67,,0,,,,,,,0,
121,Reserva Barrio El Ceibo,Vicente Lopez,VL033,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,24.40,6.70,7.59,0,,,,,0,0,0,,7.94,0.63,0,0,38,,0,,,,,,,0,
139,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,21.00,4.95,7.82,0,,,,,900,900,900,,2.9,0.62,0,0,34,,0,,,,,,,0,
119,Costa y Melo,Vicente Lopez,VL031,12/11/2014,11,2014,11-2014,04-2014,primavera,0.00,24.10,4.60,7.34,0,,,,,1100,2800,300,,7.97,0.62,0,0,33,,0,,,,,,,0,
300,ARROYO SANTO DOMINGO,Avellaneda,AV053,21/03/2016,3,2016,03-2016,01-2016,verano,0,0,0,0,0,,,,,48,3800,44960,,8.86,0.62,0,0,28,,0,,,,,,,0,
166,PEJERREY,Quilmes,QU063,26/03/2014,3,2014,03-2014,01-2014,verano,21.00,15.50,6.82,5.87,0,,,,,900,900,300,,10.8,0.61,0,0,34,,0,,,,,,,0,
130,CAMPING EVA PERON,Ensenada,EN081,12/11/2014,11,2014,11-2014,04-2014,primavera,20.00,23.50,7.36,7.88,0,,,,,4800,1500,400,,9.23,0.61,0,0,29,,0,,,,,,,0,
20,CLUB DE PESCA = PUNTA CARRASCO,CABA,CA046,03/08/2017,8,2017,08-2017,03-2017,verano,23.6,0,5.5,7.7,0,,,,,5000,8000,8000,,2,0.6,0,0,0,5,0,,,,,,,0,
102,Berisso - La Municipal,Berisso,BS094,27/08/2014,8,2014,08-2014,03-2014,invierno,4.00,11.21,9.90,7.58,0,,,,,20,900,400,,3,0.6,0,0,83,,0,,,,,,,0,
50,Parque de los Niños,CABA,CA041,13/11/2013,11,2013,11-2013,04-2013,primavera,0,25.2,5.27,7.37,0,,,,,200000,10000,8100,,5,0.6,0,0,88,,0,,,,,,,0,
19,MIRADOR TOMA DE AGUA,CABA,CA044,03/08/2017,8,2017,08-2017,03-2017,verano,23.7,0,4.9,7.6,0,,,,,36000,6000,5500,,6,0.6,0,0,0,5,0,,,,,,,0,
