Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
31,Berazategui - Balneario Hudson calle 63 (BZ 080),Berazategui,BZ080,28/08/2013,8,2013,08-2013,03-2013,invierno,10,13,4.2,8.1,0,,,,,270000,70000,0,,9.45,5.1,0,0,57,,0,,,,,,,0,
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,4/11/2020,11,2020,11-2020,04-2020,primavera,21,18,2,7,65,ausencia,ausencia,ausencia,ausencia,0,0,2800,,1,5,0,1,0,13,0,,50,0.006,0.002,0,10,48,Muy deteriorada
6,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,4/11/2020,11,2020,11-2020,04-2020,primavera,22,18,2,7,65,ausencia,ausencia,ausencia,ausencia,0,0,7700,,1,5,0,1,0,12,0,,115,0.006,0.002,0,10,43,Extremadamente deteriorada
2,RIO LUJAN Y ARROYO CARAGUATA,Tigre,TI006,25/08/2021,8,2021,08-2021,03-2021,invierno,15,13,3,7,22,ausencia,ausencia,ausencia,ausencia,10000,0,2000,150,2,5,0,0,30,7,1,,100,0.005,0.001,0.2,13,43,Extremadamente deteriorada
2,RIO LUJAN Y ARROYO CARAGUATA,Tigre,TI006,4/11/2020,11,2020,11-2020,04-2020,primavera,22,18,3,7,65,ausencia,ausencia,ausencia,presencia,0,0,18300,,2,5,0,1,0,11,0,,50,0.006,0.002,0,20,40,Extremadamente deteriorada
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,23/08/2022,8,2022,08-2022,03-2022,invierno,14,13,2,7,6,ausencia,ausencia,ausencia,ausencia,76000,0,9,780,3,5,0,0,30,7,0,,0,0.005,0.001,0.15,10,35,Extremadamente deteriorada
25,COSTA DE VILLA DOMINICO,Avellaneda,AV055,04/05/2022,5,2022,05-2022,02-2022,otoño,17,14,2,8,13,ausencia,ausencia,ausencia,ausencia,420000,0,28000,1100,3,5,0,1,84,,1,,0,7,0.001,0.15,10,35,Extremadamente deteriorada
4,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,19/05/2021,5,2021,05-2021,02-2021,otoño,15,13,5,7,30,ausencia,ausencia,ausencia,ausencia,40000,0,20000,1500,3,5,0,1,5,8,1,,110,100,0.005,10,0,35,Extremadamente deteriorada
6,RIO TIGRE 100 MTS ANTES RÍO LUJAN,Tigre,TI005,19/05/2021,5,2021,05-2021,02-2021,otoño,15,12,4,7,30,presencia,presencia,ausencia,ausencia,120000,0,48000,4600,3,5,0,1,6,7,1,,85,100,7,10,0,31,Extremadamente deteriorada
39,Playa La Bagliardi,Berisso,BS091,24/02/2021,2,2021,02-2021,01-2021,verano,20,26,5,7,18,ausencia,ausencia,ausencia,presencia,1000,0,360,300,4,5,0,1,73,4,1,,100,5,0.001,0.15,5,42,Extremadamente deteriorada
38,Berisso – Calle 66,Berisso,BS095,24/02/2021,2,2021,02-2021,01-2021,verano,24,27,4,7,6,presencia,presencia,presencia,presencia,80000,0,1500,480,4,5,0,2,45,6,1,,100,5,0.001,0.15,5,26,Extremadamente deteriorada
35,ARROYO DEL GATO,Ensenada,EN083,06/02/2019,2,2019,02-2019,01-2019,verano,26,5,0,8,41,ausencia,ausencia,ausencia,ausencia,20000,0,19250,400,6,5,0,1,62,18,0,,49,0.006,0.002,0.5,13,38,Extremadamente deteriorada
